DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jul1994,1.1979,1.20058,1.78051,1.46844,1.59153,1.3577,1.06692,0.80428,0.57659,0.37878,0.33653,0.06354,-0.1836,-0.18798,-0.1225,-0.48872,-0.76344,-0.5034,-0.19736,-0.21693,-0.2508,-0.09042,-0.03942,0.13706,0.18176,0.28128,0.15836,0.22283,-0.01336,-0.10317,-0.22799,-0.24465,-0.30597,-0.26356,-0.38572,-0.2751,-0.20145,-0.10795,-0.12929,-0.34552,-0.23598,-0.29934,-0.21446,-0.22758,-0.23779,-0.29174,-0.36683,-0.38691
Aug1994,0.07491,0.71104,0.81704,1.50556,1.3268,1.46149,1.29334,0.98352,0.71437,0.5145,0.33223,0.28635,0.03758,-0.20685,-0.20826,-0.14499,-0.4905,-0.75197,-0.49924,-0.19837,-0.20479,-0.24352,-0.08031,-0.0232,0.1508,0.19936,0.29651,0.17648,0.24173,0.00315,-0.08979,-0.21781,-0.23571,-0.29675,-0.2534,-0.37694,-0.26301,-0.18425,-0.08911,-0.11739,-0.34165,-0.22331,-0.2863,-0.19749,-0.22137,-0.22864,-0.28247,-0.3587
Sep1994,-1.22118,-0.59391,0.04203,0.21334,0.92195,0.89534,0.99855,0.82645,0.58641,0.39778,0.27031,0.105,0.06154,-0.18622,-0.41556,-0.41985,-0.35611,-0.68899,-0.92447,-0.67184,-0.36546,-0.37389,-0.40706,-0.24061,-0.18157,-0.003,0.05023,0.14755,0.03115,0.09358,-0.1379,-0.23487,-0.36179,-0.37926,-0.43407,-0.38989,-0.51205,-0.4031,-0.32142,-0.22876,-0.2648,-0.48783,-0.36665,-0.42833,-0.34093,-0.37118,-0.37349,-0.4228
Oct1994,-0.96443,-1.36154,-0.94119,-0.32679,-0.12319,0.59007,0.61436,0.70988,0.5422,0.33265,0.17002,0.08484,-0.08043,-0.13253,-0.38549,-0.59325,-0.59657,-0.53173,-0.83743,-1.02984,-0.80383,-0.51783,-0.52274,-0.54283,-0.38278,-0.33105,-0.16162,-0.10083,-3e-04,-0.12387,-0.06282,-0.27355,-0.36681,-0.4857,-0.50308,-0.55322,-0.5089,-0.62484,-0.52403,-0.44124,-0.3536,-0.388,-0.60021,-0.48093,-0.54328,-0.46014,-0.48886,-0.48332
Nov1994,1.26963,0.73577,0.13702,0.10187,0.41669,0.50891,1.00048,0.95959,1.03717,0.91749,0.73036,0.52099,0.36689,0.19568,0.14695,-0.06748,-0.26496,-0.26306,-0.21484,-0.48032,-0.69204,-0.49812,-0.25983,-0.25732,-0.28208,-0.13617,-0.08965,0.07094,0.11937,0.21565,0.10043,0.14477,-0.06298,-0.147,-0.27138,-0.28463,-0.34457,-0.30029,-0.41757,-0.31221,-0.23799,-0.15336,-0.18643,-0.41055,-0.2939,-0.36187,-0.28142,-0.31324
Dec1994,-0.06281,0.91604,0.48173,-0.01634,-0.02722,0.27449,0.37885,0.85588,0.83139,0.88982,0.77817,0.61315,0.42354,0.28391,0.11142,0.06696,-0.13429,-0.31731,-0.31751,-0.27501,-0.5228,-0.71354,-0.5409,-0.31234,-0.29563,-0.31405,-0.17215,-0.13515,0.01675,0.06078,0.15465,0.04477,0.0867,-0.10736,-0.18489,-0.30107,-0.31067,-0.36602,-0.32507,-0.43746,-0.33631,-0.26842,-0.1872,-0.21867,-0.44135,-0.32567,-0.39039,-0.3131
Jan1995,-0.67439,-0.59303,0.53051,0.17343,-0.25084,-0.23235,0.08598,0.20657,0.67722,0.72389,0.79276,0.66287,0.49006,0.2955,0.18606,0.0152,-0.02776,-0.2272,-0.39725,-0.39722,-0.34927,-0.5975,-0.77469,-0.60403,-0.38181,-0.37016,-0.38581,-0.24645,-0.20753,-0.05587,-0.00995,0.08571,-0.02097,0.02204,-0.17043,-0.24503,-0.36012,-0.37084,-0.42004,-0.37828,-0.49311,-0.39606,-0.32937,-0.2484,-0.28087,-0.4993,-0.38523,-0.44964
Feb1995,0.80608,0.13832,-0.15765,0.59581,0.29646,-0.0549,-0.05971,0.22338,0.32357,0.72859,0.76536,0.83164,0.7248,0.57491,0.3904,0.27171,0.10283,0.05954,-0.13902,-0.3049,-0.30472,-0.26575,-0.50436,-0.68431,-0.52305,-0.31217,-0.30276,-0.32419,-0.19088,-0.15666,-0.01252,0.02671,0.12264,0.01734,0.05133,-0.14093,-0.21221,-0.32554,-0.338,-0.3866,-0.3465,-0.4555,-0.35386,-0.28889,-0.20883,-0.24202,-0.46034,-0.3464
Mar1995,0.83717,0.88549,0.47299,0.22014,0.74074,0.47984,0.18203,0.18467,0.43634,0.52421,0.88427,0.92596,0.98887,0.89138,0.75045,0.58816,0.45101,0.28249,0.24519,0.05838,-0.11305,-0.11818,-0.0842,-0.33208,-0.52928,-0.36622,-0.16637,-0.16251,-0.19462,-0.06824,-0.03693,0.11134,0.15003,0.24142,0.14372,0.17325,-0.01592,-0.08417,-0.2006,-0.21279,-0.25887,-0.2176,-0.32681,-0.22747,-0.17146,-0.09287,-0.13633,-0.35039
Apr1995,0.20515,0.53361,0.68435,0.36208,0.21988,0.67621,0.472,0.22408,0.24157,0.48129,0.5717,0.90998,0.94413,1.00266,0.92071,0.78387,0.63961,0.49956,0.33277,0.28962,0.10935,-0.06356,-0.06996,-0.0378,-0.29012,-0.49042,-0.32558,-0.12884,-0.10527,-0.14311,-0.02025,0.00878,0.15233,0.18434,0.27238,0.18209,0.20534,0.01886,-0.04561,-0.15635,-0.16626,-0.21477,-0.17177,-0.2773,-0.17317,-0.11562,-0.03354,-0.06781
May1995,-1.1732,-0.51169,-0.07861,0.09973,-0.18579,-0.23703,0.33755,0.15584,-0.10679,-0.06738,0.20391,0.29762,0.70301,0.74228,0.80273,0.69723,0.54404,0.40053,0.28086,0.11231,0.07589,-0.11088,-0.27916,-0.28052,-0.25154,-0.51222,-0.69647,-0.52517,-0.31914,-0.29756,-0.32655,-0.19548,-0.16506,-0.01955,0.01476,0.10259,0.01554,0.0464,-0.14647,-0.21366,-0.32515,-0.34188,-0.38677,-0.34186,-0.45266,-0.34909,-0.28548,-0.20343
Jun1995,0.02811,-0.93051,-0.48945,-0.12539,0.04296,-0.19189,-0.25002,0.33242,0.17214,-0.08314,-0.04304,0.21825,0.31469,0.71895,0.75562,0.80892,0.70532,0.55007,0.40673,0.28792,0.11655,0.08369,-0.10751,-0.2772,-0.27674,-0.24597,-0.51136,-0.69426,-0.52395,-0.31763,-0.29891,-0.33343,-0.20366,-0.17413,-0.02908,0.00745,0.09536,0.00904,0.04078,-0.15348,-0.22134,-0.33304,-0.34959,-0.39444,-0.34985,-0.46111,-0.35565,-0.28749
Jul1995,0.08386,0.02849,-0.72447,-0.42664,-0.14477,0.01541,-0.18139,-0.22252,0.3038,0.15791,-0.07033,-0.03647,0.21545,0.3074,0.68868,0.74683,0.79481,0.69931,0.54717,0.4139,0.29116,0.1208,0.08306,-0.10748,-0.27187,-0.27074,-0.23118,-0.49909,-0.68651,-0.51992,-0.31662,-0.29602,-0.33525,-0.20827,-0.17738,-0.03311,0.00287,0.08716,-0.00359,0.03074,-0.15991,-0.22472,-0.334,-0.3529,-0.3902,-0.34436,-0.45773,-0.35171
Aug1995,-1.04702,-0.74041,-0.60217,-1.06957,-0.79131,-0.52291,-0.41453,-0.54568,-0.54753,-0.00478,-0.13182,-0.36916,-0.33726,-0.06744,0.03905,0.45203,0.5567,0.6,0.50393,0.34846,0.22659,0.11667,-0.05199,-0.08348,-0.28464,-0.44447,-0.44671,-0.40754,-0.69301,-0.86567,-0.68892,-0.47351,-0.45752,-0.48693,-0.35392,-0.31746,-0.1724,-0.12895,-0.04439,-0.14549,-0.1072,-0.29517,-0.36011,-0.47222,-0.50067,-0.53191,-0.48364,-0.59811
Sep1995,0.50346,-0.38764,-0.35452,-0.29044,-0.77614,-0.60983,-0.382,-0.28781,-0.4184,-0.42038,0.08201,-0.03457,-0.24684,-0.20447,0.03743,0.13851,0.50208,0.60093,0.64409,0.55966,0.41773,0.30106,0.18783,0.02477,-0.00466,-0.19999,-0.36571,-0.37045,-0.32334,-0.61773,-0.79834,-0.62085,-0.40504,-0.38327,-0.41768,-0.286,-0.24744,-0.10187,-0.06289,0.01848,-0.08904,-0.05781,-0.24483,-0.30799,-0.41942,-0.45425,-0.48582,-0.4342
